sensor_id,lat,lon,pressure,temperature,humidity
3738,42.7,23.332,95543.48,28.65,38.47
1954,42.704,23.354,95522.0,16.39,77.27
2232,42.685,23.301,94971.83,27.06,42.75
2216,42.664,23.373,94189.88,17.2,93.15
3438,42.738,23.293,95793.82,19.15,71.92
2228,42.693,23.333,94929.84,26.42,46.95
2607,42.66,23.319,94685.73,30.38,34.95
1850,42.677,23.311,95455.16,18.42,72.05
3982,42.654,23.33,94784.14,25.85,0.0
2264,42.671,23.31,94455.32,32.02,37.43
2216,42.664,23.373,95446.41,19.15,72.94
3092,42.666,23.284,94347.75,18.13,0.0
2292,42.663,23.273,94860.03,19.71,56.77
2228,42.693,23.333,95475.48,24.86,53.11
1962,42.69,23.324,95478.78,23.17,52.76
1764,42.622,23.366,94037.84,22.86,47.46
2230,42.692,23.332,95323.48,20.74,62.6
3436,42.693,23.359,94122.45,25.32,58.79
2036,42.657,23.349,95178.7,15.57,81.61
3474,42.68,23.293,94797.83,23.54,39.17
3982,42.654,23.33,94967.5,21.37,0.0
2224,42.651,23.335,94818.84,20.82,55.31
3512,42.683,23.335,95778.95,24.89,46.71
3092,42.666,23.284,94859.53,23.5,0.0
3642,42.694,23.36,94967.45,20.75,64.12
3738,42.7,23.332,95559.64,31.37,30.52
1764,42.622,23.366,94319.91,19.73,71.51
3436,42.693,23.359,94387.73,18.02,81.73
1962,42.69,23.324,95556.69,30.35,28.77
2607,42.66,23.319,95122.3,27.69,30.96
1962,42.69,23.324,95149.41,40.25,19.18
3982,42.654,23.33,94832.61,25.34,0.0
1954,42.704,23.354,95736.23,20.25,63.25
2216,42.664,23.373,95301.11,31.74,30.81
3512,42.683,23.335,95367.5,36.23,30.24
2294,42.645,23.265,92796.92,32.26,30.29
2234,42.685,23.356,95303.89,24.19,50.48
1850,42.677,23.311,94251.53,32.65,31.84
3432,42.71,23.419,96117.1,18.64,75.35
4479,42.675,23.24,93012.22,26.61,45.52
2323,42.686,23.4,94563.12,19.74,79.4
3096,42.7,23.36,95862.3,23.52,51.59
1952,42.709,23.398,95267.4,20.4,55.58
2264,42.671,23.31,95514.6,29.37,28.34
3432,42.71,23.419,95236.19,27.67,32.86
2038,42.694,23.32,95536.72,29.21,29.12
1850,42.677,23.311,95190.67,21.27,63.98
2228,42.693,23.333,94398.69,17.17,82.74
2040,42.686,23.351,94744.45,35.59,29.71
2292,42.663,23.273,94545.14,20.56,45.56
4479,42.675,23.24,94374.16,24.26,43.36
2262,42.691,23.324,95284.85,31.13,30.44
2040,42.686,23.351,95252.78,34.18,22.38
3096,42.7,23.36,95748.8,22.48,55.73
2262,42.691,23.324,94839.3,39.32,21.97
2234,42.685,23.356,94791.92,24.53,39.54
2262,42.691,23.324,94625.68,17.64,84.84
3436,42.693,23.359,95400.02,18.53,65.53
3428,42.624,23.406,94934.7,29.16,46.63
2232,42.685,23.301,94864.62,30.39,31.93
2230,42.692,23.332,94894.2,19.85,59.01
3436,42.693,23.359,95414.27,21.62,79.43
3500,42.703,23.349,95518.76,21.68,71.18
2234,42.685,23.356,95630.55,17.51,85.87
3982,42.654,23.33,94386.3,24.95,0.0
2264,42.671,23.31,95355.34,20.62,65.18
4473,42.625,23.321,93512.9,21.81,60.72
2216,42.664,23.373,94757.5,24.86,39.88
2294,42.645,23.265,91901.3,20.67,72.88
3472,42.669,23.318,95120.16,21.34,61.17
2224,42.651,23.335,93808.33,21.81,63.92
3092,42.666,23.284,94389.38,23.7,0.0
1954,42.704,23.354,95545.5,16.63,74.14
2323,42.686,23.4,95925.59,15.5,78.96
1954,42.704,23.354,95668.27,21.82,49.98
2607,42.66,23.319,94953.34,22.49,63.1
2038,42.694,23.32,94567.66,19.75,76.06
2230,42.692,23.332,95383.22,28.4,47.36
4479,42.675,23.24,93128.68,26.89,43.41
1954,42.704,23.354,95465.73,18.6,64.6
3620,42.678,23.254,94283.5,20.94,73.84
2266,42.738,23.272,95042.65,40.01,20.09
1846,42.64,23.31,92966.97,15.11,100.0
1850,42.677,23.311,94684.61,20.74,55.11
3096,42.7,23.36,94520.17,22.76,66.41
3472,42.669,23.318,94546.66,23.57,59.75
3428,42.624,23.406,94117.05,21.89,65.78
4477,42.629,23.301,92635.3,30.59,31.13
2292,42.663,23.273,93944.25,16.17,87.91
2216,42.664,23.373,95312.61,26.07,36.49
3474,42.68,23.293,95089.94,31.98,38.01
2036,42.657,23.349,94421.84,19.57,59.46
1764,42.622,23.366,94201.11,30.18,45.58
1846,42.64,23.31,94323.58,32.11,27.43
3738,42.7,23.332,95740.63,21.75,52.82
3092,42.666,23.284,95162.89,17.53,0.0
2232,42.685,23.301,94113.09,26.94,40.47
2230,42.692,23.332,95597.8,20.78,59.86
1954,42.704,23.354,94716.06,18.53,80.66
3836,42.702,23.371,95901.24,23.08,55.06
3096,42.7,23.36,95432.66,31.47,38.22
3472,42.669,23.318,94752.71,27.09,37.79
2292,42.663,23.273,94154.7,24.61,38.76
4471,42.698,23.291,95684.14,18.56,66.78
3620,42.678,23.254,94786.07,19.6,74.51
3096,42.7,23.36,95704.16,24.74,58.86
3436,42.693,23.359,94821.69,31.38,39.82
3836,42.702,23.371,95631.8,30.28,35.72
3096,42.7,23.36,95608.23,31.75,30.94
3472,42.669,23.318,94739.59,24.71,50.83
2224,42.651,23.335,94895.64,32.02,37.65
1952,42.709,23.398,95307.69,27.48,38.78
1846,42.64,23.31,93844.98,39.87,25.97
2228,42.693,23.333,95389.5,30.46,30.5
3428,42.624,23.406,94175.83,30.8,37.38
2228,42.693,23.333,95574.73,22.4,50.75
1962,42.69,23.324,95439.38,32.45,23.58
4477,42.629,23.301,92787.61,17.68,71.46
3102,42.665,23.392,95744.69,31.66,29.3
3102,42.665,23.392,95716.77,26.45,36.75
2036,42.657,23.349,93935.83,16.22,88.32
1846,42.64,23.31,94035.66,32.41,31.03
1764,42.622,23.366,93794.27,21.27,53.75
2234,42.685,23.356,95407.67,21.48,64.18
1764,42.622,23.366,93899.64,23.17,45.21
1846,42.64,23.31,93081.28,22.72,53.79
1850,42.677,23.311,95019.83,19.52,67.67
2607,42.66,23.319,95004.86,21.52,52.45
3096,42.7,23.36,95411.95,35.18,21.19
1954,42.704,23.354,94982.78,25.99,38.85
2216,42.664,23.373,94420.07,22.77,64.06
2264,42.671,23.31,94562.03,22.78,63.03
1962,42.69,23.324,95270.73,20.25,61.67
2262,42.691,23.324,95535.78,19.94,62.52
3738,42.7,23.332,95131.05,27.68,46.32
1846,42.64,23.31,93507.89,26.67,50.91
3432,42.71,23.419,95720.89,22.1,62.04
1764,42.622,23.366,94073.27,18.3,63.32
3296,42.671,23.325,95009.19,23.61,48.91
3474,42.68,23.293,93680.53,27.83,43.6
2294,42.645,23.265,92428.59,39.71,14.45
2224,42.651,23.335,93990.71,23.33,57.03
3982,42.654,23.33,93877.48,29.2,0.0
3432,42.71,23.419,94877.66,33.45,34.98
3432,42.71,23.419,95340.84,23.39,67.84
1846,42.64,23.31,93703.69,25.53,49.14
2232,42.685,23.301,95369.98,17.6,65.09
3438,42.738,23.293,94998.66,29.96,40.96
3620,42.678,23.254,94777.63,25.63,54.08
2228,42.693,23.333,95402.45,30.05,31.02
3738,42.7,23.332,95644.58,20.38,59.92
